Practice code,Practice name,ICB area,Borough,Post Code
E83005,Lichfield Grove Surgery,NCL,Barnet,N3 2JP
E83007,Squires Lane Medical Practice,NCL,Barnet,N3 2AU
E83008,Heathfielde Medical Centre,NCL,Barnet,N2 0EQ
E83009,PHGH Doctors,NCL,Barnet,NW11 7TE
E83011,The Everglade Medical Practice,NCL,Barnet,NW9 5XT
E83012,The Old Court House Surgery,NCL,Barnet,EN5 4BB
E83013,Cornwall House Surgery,NCL,Barnet,N12 9SS
E83016,Millway Medical Practice,NCL,Barnet,NW7 2HX
E83018,Watling Medical Centre,NCL,Barnet,HA8 0NR
E83024,St Andrews Medical Practice,NCL,Barnet,N20 9EX
E83028,Parkview Surgery,NCL,Barnet,HA8 0RW
E83028001,Parkview Surgery: Grahame Park Surgery,NCL,Barnet,#N/A
E83031,The Village Surgery,NCL,Barnet,EN4 8RF
E83032,Oak Lodge Medical Centre,NCL,Barnet,HA8 0AP
E83034,Colney Hatch Lane Surgery,NCL,Barnet,N10 1ET
E83035,Wentworth Medical Practice,NCL,Barnet,N3 1YL
E83035001,Wentworth Medical Practice: Audley Medical Practice,NCL,Barnet,#N/A
E83037,Derwent Crescent Medical Centre,NCL,Barnet,N20 0QQ
E83044,Addington Medical Centre,NCL,Barnet,EN5 1QH
E83045,Friern Barnet Medical Centre,NCL,Barnet,N11 3BU
E83050,East Finchley Medical Centre,NCL,Barnet,N2 9QD
E83668,Deans Lane Medical Centre,NCL,Barnet,HA8 9NT
Y00316,Woodlands Medical Practice,NCL,Barnet,N2 8BG
Y03663,Hendon Way Surgery,NCL,Barnet,NW9 7DG
E87066,Fitzrovia Medical Centre,NCL,Camden,W1T 6EU
F7B0O,Babylon GP at Hand: Drummond Street Surgery,NCL,Camden,#N/A
F83003,Park End Surgery,NCL,Camden,NW3 2SE
F83005,Gower Street Practice,NCL,Camden,WC1E 6DP
F83011,Primrose Hill Surgery,NCL,Camden,NW1 8UR
F83017,Hampstead Group Practice,NCL,Camden,NW3 2QU
F83018,Prince of Wales Group Surgery,NCL,Camden,NW5 3LN
F83019,Abbey Medical Centre,NCL,Camden,NW8 0AG
F83020,Adelaide Medical Centre,NCL,Camden,NW3 3RY
F83025,The Regents Park Practice,NCL,Camden,NW1 3RH
F83042,Gray's Inn Road Medical Centre,NCL,Camden,WC1X 8TS
F83043,Ridgmount Practice,NCL,Camden,WC1E 7AA
F83050,Fortune Green Road Surgery,NCL,Camden,NW6 1DS
F83052,Brookfield Park Surgery,NCL,Camden,N19 5BZ
F83057,Parliament Hill Surgery,NCL,Camden,NW5 1TR
F83058,Holborn Medical Centre,NCL,Camden,WC1N 3NA
F83061,Museum Practice,NCL,Camden,WC1B 3BA
F83615,Cholmley Gardens Surgery,NCL,Camden,NW6 1AE
F83623,Keats Group Practice,NCL,Camden,NW3 1NR
F83632,Queens Crescent Practice,NCL,Camden,NW5 4EB
F83633,Daleham Gardens Surgery,NCL,Camden,NW3 5BY
F83635,Kings Cross Surgery,NCL,Camden,NW1 1HY
F83658,Belsize Priory Medical Practice (Group),NCL,Camden,NW6 4BJ
F83665,Swiss Cottage Surgery,NCL,Camden,NW3 3NP
Y02674,Camden Health Improvement Practice,NCL,Camden,NW1 2LS
B8T9I,East Enfield Practice: Brick Lane,NCL,Enfield,#N/A
D6Q8D,MHP: Southbury Surgery,NCL,Enfield,#N/A
D9T4W,MHP: Bush Hill Park Medical Centre,NCL,Enfield,#N/A
F85634,East Enfield Medical Centre,NCL,Enfield,EN3 4EZ
I1Z8L,MHP: Carlton House Surgery,NCL,Enfield,#N/A
O0H1S,MHP: Hertford Road Surgery,NCL,Enfield,#N/A
X6I6K,MHP: Trinity Avenue Surgery,NCL,Enfield,#N/A
Z3D3X,MHP: Willow House Surgery,NCL,Enfield,#N/A
F85007,Lawrence House Surgery,NCL,Haringey,N15 4JR
F85008,Staunton Group Practice,NCL,Haringey,N22 8HE
F85013,Tynemouth Medical Practice,NCL,Haringey,N15 4RH
F85017,Charlton House Medical Centre,NCL,Haringey,N17 6SB
F85028,Bruce Grove Primary Health Care Centre,NCL,Haringey,N17 6QB
F85028001,Bruce Grove Primary Health Care Centre: Castleview Surgery,NCL,Haringey,#N/A
F85030,Somerset Gardens Family Health Centre,NCL,Haringey,N17 8NW
F85031,Westbury Medical Centre,NCL,Haringey,N22 6RX
F85034,Arcadian Gardens Surgery,NCL,Haringey,N22 5AB
F85046,Hornsey Park Surgery,NCL,Haringey,N8 0PH
F85060,Havergal Surgery,NCL,Haringey,N15 3DY
F85061,Christchurch Hall Surgery,NCL,Haringey,N8 8AE
F85063,The Muswell Hill Practice,NCL,Haringey,N10 3ST
F85064,Stuart Crescent Health Centre,NCL,Haringey,N22 5NJ
F85065,Stuart Crescent Medical Practice,NCL,Haringey,N22 5NJ
F85066,Bounds Green Group Practice,NCL,Haringey,N11 2PF
F85067,The 157 Medical Practice,NCL,Haringey,N4 3PZ
F85069,Crouch Hall Road Surgery,NCL,Haringey,N8 8HJ
F85071,Fernlea Surgery,NCL,Haringey,N15 6JR
F85615,Tottenham Health Centre,NCL,Haringey,N17 8AH
F85623,Grove Road Surgery,NCL,Haringey,N15 5HJ
F85628,Dowsett Road Surgery,NCL,Haringey,N17 9QX
F85640,Cheshire Road Surgery,NCL,Haringey,N22 8JJ
F85669,West Green Surgery,NCL,Haringey,N8 0RA
F85675,The Alexandra Surgery,NCL,Haringey,N22 7UN
F85688,Rutland House Surgery,NCL,Haringey,N10 1DU
F85697,The Old Surgery,NCL,Haringey,N8 0RP
F85705,JS Medical Practice,NCL,Haringey,N15 4JR
F85705001,JS Medical Practice: Park Lane,NCL,Haringey,#N/A
F85705002,JS Medical Practice: Westbury Avenue Surgery,NCL,Haringey,#N/A
M4V7Y,Rutland House Surgery: Queens Avenue Practice,NCL,Haringey,#N/A
Y01655,The Vale Practice,NCL,Haringey,N8 8SU
Y03135,Bridge House Medical Practice,NCL,Haringey,N4 1TL
Y05330,Tottenham Hale Medical Practice,NCL,Haringey,N17 9QX
F83021,Ritchie Street Group Practice,NCL,Islington,N1 0DG
F83045,The Miller Practice,NCL,Islington,N5 2ET
F83060,The Northern Medical Centre,NCL,Islington,N7 8GG
F83064,City Road Medical Centre,NCL,Islington,EC1V 2QH
F83652,Amwell Group Practice,NCL,Islington,WC1X 0GB
F83666,Andover Medical Centre,NCL,Islington,N7 7EP
Y03103,Medicus Select Care,NCL,Islington,N1 0AL
F82001,Halbutt Street Surgery,NEL,Barking & Dagenham,RM9 5AS
F82005,Church Elm Lane Medical Centre,NEL,Barking & Dagenham,RM10 9RR
F82009001,North Street Medical Care: Chadwell Heath Health Centre,NEL,Barking & Dagenham,#N/A
F82012,Five Elms Medical Practice,NEL,Barking & Dagenham,RM9 5TT
F82015,Hedgemans Surgery,NEL,Barking & Dagenham,RM9 6HT
F82019,Chadwell Heath Health Centre (Dr Hamilton-Smith),NEL,Barking & Dagenham,RM6 6RT
F82621,Dewey Practice (Dr Christopher),NEL,Barking & Dagenham,RM10 7YU
F82660,Tulasi Medical Centre,NEL,Barking & Dagenham,RM8 3XU
F82661,Green Lane Surgery,NEL,Barking & Dagenham,RM8 1BX
F82677,Dr A Moghal's Practice,NEL,Barking & Dagenham,RM8 3HP
F82686,Ashton Gardens Surgery,NEL,Barking & Dagenham,RM6 6RT
F86040,The Surgery (Dr A Arif),NEL,Barking & Dagenham,RM8 2AJ
Y01795,The Oval Practice,NEL,Barking & Dagenham,RM10 7YU
Y02575001,Porters Avenue Surgery: Child and Family Health Centre,NEL,Barking & Dagenham,#N/A
F84038,Beechwood Medical Centre,NEL,City & Hackney,E8 3AH
F84117,Queensbridge Group Practice,NEL,City & Hackney,E8 3XP
F84620001,The Wick Health Centre: Median Road Surgery,NEL,City & Hackney,#N/A
F84636,Barretts Grove Surgery,NEL,City & Hackney,N16 8AR
F82006,Cranham Village Surgery,NEL,Havering,RM14 1BJ
F82014,Harold Hill Health Centre,NEL,Havering,RM3 9SU
F82016,Central Park Surgery,NEL,Havering,RM3 9SU
F82607,South Hornchurch Medical Practice,NEL,Havering,RM13 7XJ
F82670,Abbamoor Surgery,NEL,Havering,RM3 9SU
F82674,Avon Road Surgery,NEL,Havering,RM14 1RG
Y00312,The Robins Surgery,NEL,Havering,RM3 9SU
F84010,St. Bartholomew's Surgery,NEL,Newham,E6 1FL
F84093,Tollgate Medical Centre,NEL,Newham,E6 5JS
F84677,East End Medical Centre,NEL,Newham,E13 0QA
F84740,Newham Transitional Practice,NEL,Newham,E12 6AQ
F84749,AT Medics: Carpenters Practice,NEL,Newham,E15 2JA
F84749002,AT Medics: St. Luke's Practice,NEL,Newham,#N/A
W7J9Z,Cumberland Medical Centre,NEL,Newham,#N/A
F81062,Chigwell Medical Centre,NEL,Redbridge,IG6 2TA
P9T5K,Ilford Medical Centre Branch,NEL,Redbridge,#N/A
Y7H9K,Mathukia's Surgery Branch,NEL,Redbridge,#N/A
E3M7U,GP at Hand - Cabot Place,NEL,Tower Hamlets,#N/A
F84039,Goodman's Fields Health Centre,NEL,Tower Hamlets,E1 8ZF
F84123,Suttons Wharf Health Centre,NEL,Tower Hamlets,E2 0FA
F84647,Roserton Street Surgery,NEL,Tower Hamlets,E14 3PG
F84656,Docklands Medical Centre,NEL,Tower Hamlets,E14 9WU
F84696,Tredegar Practice,NEL,Tower Hamlets,E3 5JD
F84710,Island Health,NEL,Tower Hamlets,E14 3BQ
T5S9Y,City Square Medical Group: Cable Street,NEL,Tower Hamlets,#N/A
F86086,Wood Street Health Centre,NEL,Waltham Forest,E17 3LA
F86689,The Bailey Practice,NEL,Waltham Forest,E17 9LY
E84002,Forty Willows Surgery,NWL,Brent,HA9 9HA
E84007,Uxendon Crescent Surgery,NWL,Brent,HA9 9TW
E84013,Church End Medical Centre,NWL,Brent,NW10 9HP
E84017001,Sudbury & Alperton Medical Centre: Watford Road Surgery,NWL,Brent,#N/A
E84020,Jai Medical Centre,NWL,Brent,HA8 5LP
E84020001,Jai Medical Centre: The Sheldon Practice,NWL,Brent,#N/A
E84025001,Lonsdale Medical Group: Blessing Medical Centre,NWL,Brent,#N/A
E84042,Kilburn Park Medical Centre,NWL,Brent,NW6 5HB
E84080,Staverton Surgery,NWL,Brent,NW2 5HA
E84656,Roundwood Park Medical Centre,NWL,Brent,NW10 3RY
E84704,St. Georges Medical Centre,NWL,Brent,NW2 6JH
E84709,Wembley Park Drive Medical Centre,NWL,Brent,HA9 0GL
F83059,Brondesbury Medical Centre,NWL,Brent,NW6 7JQ
Y00206,Burnley Practice,NWL,Brent,NW10 3RY
E87002,Victoria Medical Centre,NWL,Central London,SW1V 1SN
E87002001,Victoria Medical Centre: Lees Place Medical Centre,NWL,Central London,#N/A
E87006,Little Venice Medical Centre,NWL,Central London,W2 1ND
E87021,Shirland Road Medical Centre,NWL,Central London,W10 4LD
E87046,The Randolph Surgery,NWL,Central London,W9 1NH
E87052,Crompton Medical Centre,NWL,Central London,W2 1ND
E87681,Newton Medical Centre,NWL,Central London,W2 5LT
E87691,Palace Gate Practice,NWL,Central London,SW1P 3PB
E87745,Cavendish Health Centre,NWL,Central London,NW1 5JD
E87754,Wellington Health Centre,NWL,Central London,NW8 9SP
E87755,Queens Park Health Centre,NWL,Central London,W10 4LD
F83672,St Philips Medical Centre,NWL,Central London,WC2A 2AZ
H1H1A,Babylon GP at Hand: Heron House Surgery,NWL,Central London,#N/A
E84059,The Allendale Road Surgery,NWL,Ealing,UB6 0RA
E85006,Waterside Medical Centre,NWL,Ealing,UB2 4XQ
E85049,Belmont Medical Centre,NWL,Ealing,UB2 5DU
E85075,Chiswick Family Practice,NWL,Ealing,W3 8TF
E85088,Elmbank Surgery,NWL,Ealing,W7 3DD
E85091,Brunswick Surgery,NWL,Ealing,W5 1AQ
E85098,Islip Manor Medical Centre,NWL,Ealing,UB5 5RG
E85107,The Mill Hill Surgery,NWL,Ealing,W3 8QH
E85120001,The Argyle Surgery: Cuckoo Lane Surgery,NWL,Ealing,#N/A
E85121,The Guru Nanak Medical Centre,NWL,Ealing,UB1 1EQ
E85130,Chiswick Family Practice,NWL,Ealing,W3 8TF
E85623,Somerset Medical Centre,NWL,Ealing,UB5 6WL
E85624001,Parkview Health Centre: West End Road Surgery,NWL,Ealing,#N/A
E85640,The Churchfield Road Surgery,NWL,Ealing,W3 6DL
E85680,Cloister Road Surgery,NWL,Ealing,W3 0DF
E85682,Dormers Wells Medical Centre,NWL,Ealing,UB1 2LU
E85712,Goodcare Practice,NWL,Ealing,UB5 6WL
E85714,The Pitshanger Lane Surgery,NWL,Ealing,W5 1RQ
E85715,Broadmead Surgery,NWL,Ealing,UB5 6WL
E84059,The Allendale Road Surgery,NWL,Hammersmith & Fulham,UB6 0RA
E85006,Waterside Medical Centre,NWL,Hammersmith & Fulham,UB2 4XQ
E85075,Chiswick Family Practice,NWL,Hammersmith & Fulham,W3 8TF
E85088,Elmbank Surgery,NWL,Hammersmith & Fulham,W7 3DD
E85091,Brunswick Surgery,NWL,Hammersmith & Fulham,W5 1AQ
E85098,Islip Manor Medical Centre,NWL,Hammersmith & Fulham,UB5 5RG
E85103,Lady Margaret Road Medical Centre,NWL,Hammersmith & Fulham,UB1 2PH
E85107,The Mill Hill Surgery,NWL,Hammersmith & Fulham,W3 8QH
E85111,Perivale Medical Clinic,NWL,Hammersmith & Fulham,UB6 8HX
E85116,The Cuckoo Lane Practice,NWL,Hammersmith & Fulham,W7 1DR
E85120001,The Argyle Surgery: Cuckoo Lane Surgery,NWL,Hammersmith & Fulham,#N/A
E85130,Chiswick Family Practice,NWL,Hammersmith & Fulham,W3 8TF
E85623,Somerset Medical Centre,NWL,Hammersmith & Fulham,UB5 6WL
E85624001,Parkview Health Centre: West End Road Surgery,NWL,Hammersmith & Fulham,#N/A
E85633,Southall Medical Centre,NWL,Hammersmith & Fulham,UB1 2PT
E85633001,Southall Medical Centre: Norwood Road Surgery,NWL,Hammersmith & Fulham,#N/A
E85640,The Churchfield Road Surgery,NWL,Hammersmith & Fulham,W3 6DL
E85656,Sunrise Medical Centre,NWL,Hammersmith & Fulham,UB1 1HS
E85680,Cloister Road Surgery,NWL,Hammersmith & Fulham,W3 0DF
E85682,Dormers Wells Medical Centre,NWL,Hammersmith & Fulham,UB1 2LU
E85694,The Boileau Road Surgery,NWL,Hammersmith & Fulham,W5 3AJ
E85712,Goodcare Practice,NWL,Hammersmith & Fulham,UB5 6WL
E85714,The Pitshanger Lane Surgery,NWL,Hammersmith & Fulham,W5 1RQ
E85715,Broadmead Surgery,NWL,Hammersmith & Fulham,UB5 6WL
E85721,The Avenue Surgery,NWL,Hammersmith & Fulham,UB1 1PZ
E83018001,Watling Medical Centre: London Road Surgery,NWL,Harrow,#N/A
E84008,Simpson House Medical Centre,NWL,Harrow,HA2 8RS
E84053,Hatch End Medical Centre,NWL,Harrow,HA5 4RD
E84083,Lanfranc Medical Centre,NWL,Harrow,HA1 3QE
E84005001,Kings Road Surgery: Eastcote Surgery,NWL,Hillingdon,#N/A
E85121001,The Guru Nanak Medical Centre: Botwell Medical Centre,NWL,Hillingdon,#N/A
E86017,Hayes Medical Centre,NWL,Hillingdon,UB3 4NA
E86019,The Warren Practice,NWL,Hillingdon,UB4 0SG
E86030,Brunel Medical Centre,NWL,Hillingdon,UB8 3PH
E86036,First Care Practice,NWL,Hillingdon,UB10 9QF
E86637,Heathrow Medical Centre,NWL,Hillingdon,UB3 5AB
E85024,Carlton Surgery,NWL,Hounslow,TW14 0AX
E85115,Pentelow Practice,NWL,Hounslow,TW14 9EF
E85681,Jersey Practice,NWL,Hounslow,TW5 9ER
E85699,Grove Village Medical Centre,NWL,Hounslow,TW14 8SN
E85708,Gill Medical Practice,NWL,Hounslow,TW14 0AB
E85713,Hounslow Family Practice,NWL,Hounslow,TW3 4JX
E85739,HMC Health,NWL,Hounslow,TW5 9ER
E85739001,HMC Health: The Great West Surgery,NWL,Hounslow,#N/A
E85744,Argyle Health Isleworth Practice,NWL,Hounslow,TW7 7DJ
Y02671,The Practice Heart of Hounslow,NWL,Hounslow,TW3 3LN
E87004,Health Partners at Violet Melchett,NWL,West London,SW3 5RR
E87007,Westbourne Grove Medical Centre,NWL,West London,W11 2SE
E87016,Holland Park Surgery,NWL,West London,W8 7RX
E87047,Earls Court Medical Centre,NWL,West London,SW5 9AD
E87065,The Notting Hill Medical Centre,NWL,West London,W11 2EH
E87067,Colville Health Centre,NWL,West London,W11 1PA
E87711,Royal Hospital Chelsea,NWL,West London,SW3 4SR
E87742,The Golborne Medical Centre,NWL,West London,W10 5PE
E87750,Earls Court Surgery,NWL,West London,SW5 9JA
Y00200,Portobello Medical Centre,NWL,West London,W11 2EH
Y03441,Earls Court Health and Wellbeing,NWL,West London,SW5 0PT
G83025,Welling Medical Practice,SEL,Bexley,DA16 2AT
G83028,Bexley Group Practice,SEL,Bexley,DA16 3HQ
G83028002,Bexley Group Practice: Station Road Surgery,SEL,Bexley,#N/A
G84006,Summercroft Surgery,SEL,Bromley,BR6 7AR
G84027,Elm House Surgery,SEL,Bromley,BR3 3FD
Y06345,Bromleag Care Practice,SEL,Bromley,BR3 1DU
G83016,Royal Arsenal Medical Centre,SEL,Greenwich,SE18 6TE
G83019,Plumstead Health Centre,SEL,Greenwich,SE18 1BB
G83025001,Welling Medical Practice: Holly House Surgery,SEL,Greenwich,#N/A
G83026001,Triveni PMS: Plumstead Common Road Surgery,SEL,Greenwich,#N/A
G83027001,Kidbrooke Village Medical Centre,SEL,Greenwich,#N/A
G83065002,Burney Street Practice: Wallace Centre,SEL,Greenwich,#N/A
G83654,Bannockburn Surgery,SEL,Greenwich,SE18 1ES
G83673003,Elmstead Medical Clinic: Campus Surgery,SEL,Greenwich,#N/A
V8R9W,Plumstead Health Centre: Trinity Medical Centre,SEL,Greenwich,#N/A
Y02974,AT Medics: Thamesmead Medical Centre,SEL,Greenwich,SE28 0NY
G85002,AT Medics: Streatham High Practice,SEL,Lambeth,SW16 2ST
G85011001,Clapham Family Practice: Manor Health Centre,SEL,Lambeth,#N/A
G85054,Lambeth Walk Group Practice,SEL,Lambeth,SW9 6AF
G85086,The South Lambeth Road Practice,SEL,Lambeth,SW8 1UL
G85100,Beckett House Practice,SEL,Lambeth,SW9 9DL
G85135,Minet Green Health Practice,SEL,Lambeth,SW9 6AF
G85136,Waterloo Health Centre,SEL,Lambeth,SE1 7AE
G85647,The Exchange Surgery,SEL,Lambeth,SW16 2ST
G85695,Akerman Medical Practice,SEL,Lambeth,SW9 6AF
G85708,Dr Curran & Partners,SEL,Lambeth,SW4 6EB
Y07020,Lambeth Healthcare Practice,SEL,Lambeth,SE23 1RJ
D6U6U,Lewisham Care Partnership: Morden Hill Surgery,SEL,Lewisham,#N/A
G85015,AT Medics: QRP Surgery,SEL,Lewisham,SE14 5HD
G85085,Grove Medical Centre,SEL,Lewisham,SE8 3QH
G85105,Vesta Road Surgery,SEL,Lewisham,SE4 2NH
J5N4Z,Lewisham Care Partnership: Belmont Hill Surgery,SEL,Lewisham,#N/A
J6X4D,Lewisham Care Partnership: Honor Oak Health Centre,SEL,Lewisham,#N/A
K2T3Y,The Jenner Practice: Bellingham Green Surgery,SEL,Lewisham,#N/A
N5T5S,The Jenner Practice: South Lewisham Health Centre,SEL,Lewisham,#N/A
T8U5Q,Lewisham Care Partnership: Hilly Fields Medical Centre,SEL,Lewisham,#N/A
G85029,Falmouth Road Group Practice,SEL,Southwark ,SE1 4JW
G85034001,Nexus Health Group: Artesian Health Centre,SEL,Southwark ,#N/A
G85087,AT Medics: Silverlock Medical Centre,SEL,Southwark ,SE16 3HA
G85681,The Lordship Lane Surgery,SEL,Southwark ,SE22 8JN
Y06113,Qhs GP Care Home Service,SEL,Southwark ,SE16 4BL
H83004,Farley Road Medical Practice,SWL,Croydon,CR2 7NG
H83004001,The Farley Road Surgery: Holmbury Grove Surgery,SWL,Croydon,#N/A
H83008,Addiscombe Road Surgery,SWL,Croydon,CR0 6JJ
H83011,North Croydon Medical Centre,SWL,Croydon,CR7 7HQ
H83012,St James Medical Centre,SWL,Croydon,CR0 2BZ
H83012001,St. James's Medical Centre: Castle Hill Avenue Surgery,SWL,Croydon,#N/A
H83014,Queenhill Medical Practice,SWL,Croydon,CR2 8DU
H83015,Parkside Group Practice,SWL,Croydon,CR2 6EX
H83020,Eversley Medical Practice,SWL,Croydon,CR7 6AR
H83021,London Road Medical Practice,SWL,Croydon,CR7 6AR
H83037,Auckland Surgery,SWL,Croydon,SE19 2DF
H83043003,Shirley Medical Centre: Wickham Road Surgery,SWL,Croydon,#N/A
H83051001,Thornton Road & Valley Park Surgery: Valley Park Surgery,SWL,Croydon,#N/A
H83608,Brigstock Family Practice,SWL,Croydon,CR7 7JH
H83611,Selhurst Medical Centre,SWL,Croydon,SE25 5QA
V3N8W,Keston Medical Practice: The Moorings Medical Practice,SWL,Croydon,#N/A
X7M5Y,Selsdon Park Medical Practice: Mitchley Avenue Surgery,SWL,Croydon,#N/A
Y02962,Edridge Road Community Health Centre,SWL,Croydon,CR0 1FE
H84020002,Fairhill Medical Practice: Kingston University,SWL,Kingston,#N/A
H84051,Roselawn Surgery,SWL,Kingston,KT3 6AA
H85027,Wimbledon Village Surgery,SWL,Merton,SW19 5BY
H85092,Riverhouse Medical Practice,SWL,Merton,SW19 1YG
H85649,Colliers Wood Surgery,SWL,Merton,SW19 2BY
H85649001,Colliers Wood Surgery: Lavender Fields Surgery,SWL,Merton,#N/A
H85656,Alexandra Road Surgery,SWL,Merton,SW19 7JZ
H85683,Faccini House Surgery,SWL,Merton,SM4 6RT
E85045,Twickenham Park Medical Centre,SWL,Richmond,TW13 6HD
H84012001,York Medical Practice: St. Mary's College,SWL,Richmond,#N/A
H84040,Hampton Medical Centre,SWL,Richmond,TW12 2PB
H84057,Staines Road Medical Centre,SWL,Richmond,TW2 5AU
H84623,Hampton Hill Medical Centre,SWL,Richmond,TW12 1NY
Y01206,Glebe Road Surgery,SWL,Richmond,SW13 0DR
E85045,Twickenham Park Medical Centre,SWL,Sutton,TW13 6HD
H84012001,York Medical Practice: St. Mary's College,SWL,Sutton,#N/A
H84040,Hampton Medical Centre,SWL,Sutton,TW12 2PB
H84057,Staines Road Medical Centre,SWL,Sutton,TW2 5AU
H84623,Hampton Hill Medical Centre,SWL,Sutton,TW12 1NY
Y01206,Glebe Road Surgery,SWL,Sutton,SW13 0DR
H85008001,Roehampton Lane Surgery: Ashburton Medical Practice,SWL,Wandsworth,#N/A
H85012001,Putneymead Group Medical Practice: Student Medical Centre,SWL,Wandsworth,#N/A
H85057,Elborough Street Surgery,SWL,Wandsworth,SW18 5DS
H85075,Haider Practice,SWL,Wandsworth,SW11 1SW
H85082,Triangle Surgery,SWL,Wandsworth,SW18 4HX
H85659,St Johns Hill Surgery,SWL,Wandsworth,SW11 1SW
H85680,Tooting South Medical Centre,SWL,Wandsworth,SW17 9HQ
Y01132,Chartfield Surgery,SWL,Wandsworth,SW15 6HG
